higherGeography,pcr_primer_name_forward,phylum,class,order,family,species,asvs,reads
Aldabra Atoll,MiFish-UE-F,Acidobacteria,,,,0,2,12
Aldabra Atoll,MiFish-UE-F,Actinobacteria,,,,0,5,105
Aldabra Atoll,MiFish-UE-F,Arthropoda,Copepoda,Calanoida,Acartiidae,1,2,30
Aldabra Atoll,MiFish-UE-F,Arthropoda,Copepoda,Calanoida,Paracalanidae,1,1,2
Aldabra Atoll,MiFish-UE-F,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,1,2,107
Aldabra Atoll,MiFish-UE-F,Ascomycota,,,,0,1,4
Aldabra Atoll,MiFish-UE-F,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,1,20,1277
Aldabra Atoll,MiFish-UE-F,Bacillariophyta,Bacillariophyceae,Hemiaulales,Bellerocheaceae,1,3,268
Aldabra Atoll,MiFish-UE-F,Bacillariophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,1,9,4483
Aldabra Atoll,MiFish-UE-F,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,1,211,53698
Aldabra Atoll,MiFish-UE-F,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,0,1,97
Aldabra Atoll,MiFish-UE-F,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,0,1,4
Aldabra Atoll,MiFish-UE-F,Chlorophyta,Pyramimonadophyceae,Prasinococcales,Prasinococcaceae,0,1,6
Aldabra Atoll,MiFish-UE-F,Chlorophyta,Ulvophyceae,Dasycladales,Polyphysaceae,0,1,9
Aldabra Atoll,MiFish-UE-F,Chlorophyta,,,,0,1,6
Aldabra Atoll,MiFish-UE-F,Chordata,Amphibia,Anura,,0,4,355
Aldabra Atoll,MiFish-UE-F,Chordata,Aves,Charadriiformes,Scolopacidae,0,1,10
Aldabra Atoll,MiFish-UE-F,Chordata,Aves,Columbiformes,Columbidae,0,3,651
Aldabra Atoll,MiFish-UE-F,Chordata,Aves,Pelecaniformes,Fregatidae,1,1,10
Aldabra Atoll,MiFish-UE-F,Chordata,Aves,,,0,3,256
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,1,13,31706
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,1,2,130
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Myliobatiformes,Aetobatidae,1,4,4326
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,3,36,133047
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,1,3,172
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,1,6,4608
Aldabra Atoll,MiFish-UE-F,Chordata,Elasmobranchii,Rhinopristiformes,,0,1,5
Aldabra Atoll,MiFish-UE-F,Chordata,Leptocardii,,Branchiostomatidae,1,4,73
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,Carnivora,Otariidae,0,2,82
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,Carnivora,Phocidae,1,2,68
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,Cetartiodactyla,Delphinidae,1,12,51700
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,Primates,Hominidae,0,10,14005
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,Rodentia,Muridae,0,1,1
Aldabra Atoll,MiFish-UE-F,Chordata,Mammalia,,,0,39,52825
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Acanthuriformes,Acanthuridae,3,145,253562
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,5,37,12106
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Acanthuriformes,Ephippidae,1,5,6792
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,1,4,2030
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Acanthuriformes,Zanclidae,1,7,9354
