higherGeography,pcr_primer_name_forward,species,asvs,reads
Aldabra Atoll,MiFish-UE-F,155,8054,8559851
Aldabra Atoll,MiMammal-UEB-F,245,7737,8544581
Aldabra Atoll,Vert-16S-eDNA-F1,337,4494,3542332
Aldabra Atoll,mlCOIintF,594,26502,11767555
Aldabra Atoll,teleo_F_L1848,99,7313,9218138
Archipiélago de Revillagigedo,MiFish-UE-F,99,4599,3849049
Archipiélago de Revillagigedo,MiMammal-UEB-F,133,4415,3805321
Archipiélago de Revillagigedo,Vert-16S-eDNA-F1,178,2935,1418529
Archipiélago de Revillagigedo,mlCOIintF,353,18878,9994394
Archipiélago de Revillagigedo,teleo_F_L1848,61,5219,7687545
Banc d'Arguin National Park,MiFish-UE-F,81,5149,16814048
Banc d'Arguin National Park,MiMammal-UEB-F,104,4983,16836220
Banc d'Arguin National Park,Vert-16S-eDNA-F1,132,2892,5870597
Banc d'Arguin National Park,mlCOIintF,171,8915,7790721
Banc d'Arguin National Park,teleo_F_L1848,40,3834,24123443
Belize Barrier Reef Reserve System,MiFish-UE-F,82,5645,5010567
Belize Barrier Reef Reserve System,MiMammal-UEB-F,137,5424,4999549
Belize Barrier Reef Reserve System,Vert-16S-eDNA-F1,203,3368,2804431
Belize Barrier Reef Reserve System,mlCOIintF,518,24509,15293878
Belize Barrier Reef Reserve System,teleo_F_L1848,52,5949,5460105
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,MiFish-UE-F,38,4137,1701057
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,MiMammal-UEB-F,65,4040,1696093
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Vert-16S-eDNA-F1,89,2410,1143763
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,mlCOIintF,342,22928,12572266
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,teleo_F_L1848,28,4776,2366902
Cocos Island National Park,MiFish-UE-F,89,5123,6837423
Cocos Island National Park,MiMammal-UEB-F,102,4986,6786753
Cocos Island National Park,Vert-16S-eDNA-F1,138,3880,3462928
Cocos Island National Park,mlCOIintF,259,19053,22921236
Cocos Island National Park,teleo_F_L1848,49,5804,5187431
Coiba National Park and its Special Zone of Marine Protection,MiFish-UE-F,100,5965,5078193
Coiba National Park and its Special Zone of Marine Protection,MiMammal-UEB-F,125,5604,5076399
Coiba National Park and its Special Zone of Marine Protection,Vert-16S-eDNA-F1,224,3744,3188234
Coiba National Park and its Special Zone of Marine Protection,mlCOIintF,382,16003,11927872
Coiba National Park and its Special Zone of Marine Protection,teleo_F_L1848,56,5433,8411075
Everglades National Park,MiFish-UE-F,59,3974,12226454
Everglades National Park,MiMammal-UEB-F,91,3874,12160944
Everglades National Park,Vert-16S-eDNA-F1,111,1957,3057813
Everglades National Park,mlCOIintF,163,9540,8082266
Everglades National Park,teleo_F_L1848,34,3284,3940828
French Austral Lands and Seas,MiFish-UE-F,48,3231,10783576
French Austral Lands and Seas,MiMammal-UEB-F,52,3139,10846854
French Austral Lands and Seas,Vert-16S-eDNA-F1,74,1534,2586893
French Austral Lands and Seas,mlCOIintF,201,7781,9740051
French Austral Lands and Seas,teleo_F_L1848,30,2870,6187358
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve,MiFish-UE-F,24,2720,2042752
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve,MiMammal-UEB-F,42,2642,2043603
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve,Vert-16S-eDNA-F1,71,1885,1271255
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve,mlCOIintF,183,11815,19714415
Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve,teleo_F_L1848,24,3490,4191047
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,MiFish-UE-F,146,6658,6520015
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,MiMammal-UEB-F,237,6288,6477844
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,Vert-16S-eDNA-F1,392,5067,7353000
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,mlCOIintF,654,32910,14289567
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,teleo_F_L1848,109,7385,10732446
Lord Howe Island Group,MiFish-UE-F,99,5493,7258011
Lord Howe Island Group,MiMammal-UEB-F,137,5249,7194320
Lord Howe Island Group,Vert-16S-eDNA-F1,188,3335,4830625
Lord Howe Island Group,mlCOIintF,458,23150,10187162
Lord Howe Island Group,teleo_F_L1848,49,5163,7283965
Ningaloo Coast,MiFish-UE-F,179,9713,12620246
Ningaloo Coast,MiMammal-UEB-F,233,9267,12631500
Ningaloo Coast,Vert-16S-eDNA-F1,276,4657,5281175
Ningaloo Coast,mlCOIintF,607,36945,10734614
Ningaloo Coast,teleo_F_L1848,109,7759,9771346
Peninsula Valdès,MiFish-UE-F,70,6327,10679750
Peninsula Valdès,MiMammal-UEB-F,84,6245,10469166
Peninsula Valdès,Vert-16S-eDNA-F1,96,2874,2840994
Peninsula Valdès,mlCOIintF,258,18135,18251313
Peninsula Valdès,teleo_F_L1848,29,4230,4612309
Shark Bay, Western Australia,MiFish-UE-F,88,4752,9880390
Shark Bay, Western Australia,MiMammal-UEB-F,111,4557,9854145
Shark Bay, Western Australia,Vert-16S-eDNA-F1,156,2767,4546943
Shark Bay, Western Australia,mlCOIintF,221,13156,7619543
Shark Bay, Western Australia,teleo_F_L1848,50,4286,9607891
Socotra Archipelago,MiFish-UE-F,63,2354,2186159
Socotra Archipelago,MiMammal-UEB-F,80,2177,2181405
Socotra Archipelago,Vert-16S-eDNA-F1,113,933,534097
Socotra Archipelago,mlCOIintF,221,6115,1691044
Socotra Archipelago,teleo_F_L1848,34,1253,762209
The Sundarbans,MiFish-UE-F,66,3570,3932061
The Sundarbans,MiMammal-UEB-F,93,3416,3953262
The Sundarbans,Vert-16S-eDNA-F1,116,1853,1719390
The Sundarbans,mlCOIintF,119,7292,8356498
The Sundarbans,teleo_F_L1848,43,3067,8243723
Tubbataha Reefs Natural Park,MiFish-UE-F,134,6540,5951711
Tubbataha Reefs Natural Park,MiMammal-UEB-F,215,6259,5903092
Tubbataha Reefs Natural Park,Vert-16S-eDNA-F1,296,4326,2387146
Tubbataha Reefs Natural Park,mlCOIintF,531,20478,15339986
Tubbataha Reefs Natural Park,teleo_F_L1848,99,6747,5080285
Wadden Sea,MiFish-UE-F,96,6684,15280664
Wadden Sea,MiMammal-UEB-F,100,6428,15047265
Wadden Sea,Vert-16S-eDNA-F1,118,2442,4054082
Wadden Sea,mlCOIintF,247,10592,10906937
Wadden Sea,teleo_F_L1848,47,3532,7822936
iSimangaliso Wetland Park,MiFish-UE-F,165,9537,10416495
iSimangaliso Wetland Park,MiMammal-UEB-F,225,9102,10335152
iSimangaliso Wetland Park,Vert-16S-eDNA-F1,297,4154,3098152
iSimangaliso Wetland Park,mlCOIintF,565,25693,12538312
iSimangaliso Wetland Park,teleo_F_L1848,93,6304,7172206
